,52W High,52W Low,52W Range,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volatility,Volume,_id,_rev,Day 1,Day 2,Day 3,Day 4,Day 5
BZUN_11-22-2017,-18.70%,204.04%,10.87 - 40.65,1.68,3.26M,-,4.59,2.44,-0.0701,2.80,11-22-2017,0.05,-,-,0.32,62.02%,1826.30%,10.40%,0.08,1.11,-,106.10%,Nov 21 AMC,2984,32.16,46.70%,18.30M,-,Catalog & Mail Order Houses,-,-,49.20%,23.15%,0.00,1.95B,3.70%,Yes,10.68,7.74,14.54,111.06,-,3.47,0.00%,68.12%,6.89%,22.98%,3.34%,194.45%,122.40%,35.54,33.05,3.30%,2.30,5.50%,8.00%,4.30%,46.33,1.90,7.08,0.36%,32.64%,-3.95%,560.60M,26.80%,-,Services,-,-,Yes,3.67M,54.77M,32.87,BZUN,4.56% 4.93%,1605874,BZUN_11-22-2017,1-872ec8cabe5284c568dffe13edc6c652,-0.07322239031770039,-0.10680786686838117,,,
CABO_11-08-2017,-18.36%,14.01%,564.26 - 788.00,18.23,35.35K,-,88.61,15.75,-0.0701,1.20,11-08-2017,2.34,7.00,1.01%,18.63,12.55%,7.70%,3.00%,5.20,23.59,-,12.80%,Nov 08 BMO,1877,29.33,64.60%,107.10M,-,Diversified Communication Services,5.60%,-3.00%,72.90%,-0.67%,2.32,3.94B,24.30%,No,12.37,7.81,43.91,37.12,15.98,4.58,31.90%,3.82%,-6.55%,-7.41%,-2.54%,11.27%,19.41%,691.78,643.30,12.40%,1.20,6.80%,22.80%,12.40%,26.29,2.80,3.98,-11.34%,-7.66%,-12.08%,860.70M,17.80%,-,Technology,4.89%,6.43,Yes,4.65M,5.70M,737.75,CABO,3.25% 2.50%,10108,CABO_11-08-2017,1-87c41edef4fea6cb0b5055eb44ec377b,0.05518420643556654,0.04927716461992859,0.03730763251981961,0.03485154671226498,0.04016788434633933
CACI_11-02-2017,-10.87%,33.43%,98.40 - 147.31,2.74,132.01K,1.61,73.33,2.67,-0.07629999999999999,1.70,11-02-2017,0.69,-,-,6.53,8.31%,-0.90%,6.17%,1.52,7.34,1.90%,13.40%,Nov 01 AMC,18600,19.36,32.60%,163.70M,-,Information Technology Services,0.20%,-40.70%,89.50%,-2.42%,0.66,3.49B,6.80%,Yes,3.53,1.94,53.24,21.78,14.65,0.80,0.00%,11.53%,-0.18%,10.71%,-1.66%,14.36%,42.94%,142.15,131.30,3.80%,1.70,4.20%,9.50%,7.00%,27.99,2.10,1.73,-8.13%,3.32%,-3.97%,4.35B,2.10%,2.90%,Technology,0.64%,1.17,Yes,24.16M,24.53M,143.93,CACI,2.48% 1.61%,15892,CACI_11-02-2017,1-ede126392819db6e0cd2807589be0327,0.010891089108910679,-0.00799695354150809,-0.008377760853008565,-0.02437166793602452,-0.05217060167555221
CAC_11-01-2017,-11.16%,24.18%,32.50 - 45.43,0.94,36.42K,0.78,26.23,7.79,-0.06509999999999999,-,11-01-2017,0.17,0.92,2.13%,2.70,8.21%,6.90%,-,0.69,2.90,2.50%,48.60%,Oct 31 BMO,631,14.89,-,41.90M,-,Regional - Northeast Banks,1.40%,1.74%,66.30%,0.39%,0.17,665.68M,83.50%,Yes,-,1.65,5.54,15.98,11.36,5.07,31.70%,-1.01%,-1.98%,4.81%,-2.11%,-2.88%,30.74%,43.17,40.36,31.90%,-,1.10%,10.50%,13.30%,35.55,2.00,1.62,-7.80%,-3.87%,-3.45%,131.20M,3.40%,5.70%,Financial,2.84%,11.79,Yes,15.13M,15.42M,46.50,CAC,2.47% 1.89%,4111,CAC_11-01-2017,1-fe6822ee7720018192b17fa88a0934ad,0.04038652130822595,0.04137760158572856,0.06912784935579785,0.03369672943508428,0.024777006937561907
CAKE_11-02-2017,-37.73%,9.05%,38.34 - 67.14,0.99,1.39M,0.28,13.42,1.43,-0.0709,0.60,11-02-2017,0.00,1.16,2.58%,2.86,8.34%,0.00%,10.47%,0.60,2.87,11.40%,22.70%,Nov 01 AMC,38800,15.68,77.10%,140.20M,-,Restaurants,6.97%,-0.36%,99.40%,0.04%,0.00,2.08B,8.30%,Yes,1.51,3.35,31.39,15.76,9.88,0.91,32.60%,-28.10%,6.41%,1.83%,3.42%,-24.85%,-14.56%,45.00,41.81,6.10%,0.50,11.00%,22.80%,24.70%,43.79,2.70,7.13,-3.19%,-21.36%,-0.07%,2.30B,2.00%,5.30%,Services,24.59%,7.74,Yes,43.73M,46.25M,47.47,CAKE,2.25% 2.25%,688734,CAKE_11-02-2017,1-a043c1994fbc66957f8aa534181cdac3,0.02009088734752451,0.03563740731882303,0.04137766084668737,0.04305190145898097,0.05429323128438157
CALA_11-13-2017,-27.06%,404.31%,2.90 - 20.05,0.92,480.32K,-,4.46,4.67,-0.1109,4.60,11-13-2017,0.00,-,-,-0.99,-39.00%,60.90%,75.00%,-0.23,-1.07,-,-7.80%,Nov 08 AMC,50,-,-,-26.40M,-,Biotechnology,6.20%,-20.95%,90.00%,-2.16%,0.00,583.56M,-,Yes,-,3.69,3.52,-,37.65,31.21,-,15.44%,-6.53%,21.40%,-4.36%,406.15%,457.63%,16.45,14.63,-,4.60,-15.10%,-19.70%,-,40.46,1.60,5.49,-11.08%,4.89%,-10.09%,18.70M,-,-,Healthcare,8.73%,6.06,Yes,33.36M,35.48M,18.25,CALA,5.98% 5.61%,183348,CALA_11-13-2017,1-8747edd5ba8288e2325f0234af17af95,-0.19138755980861244,-0.33219412166780593,-0.3267259056732742,-0.3123718386876282,-0.2836637047163363
CALA_11-02-2017,-13.72%,592.00%,2.50 - 20.05,0.78,469.82K,-,4.60,4.70,0.0812,4.90,11-02-2017,0.00,-,-,-1.26,-29.60%,73.10%,75.00%,-0.22,-1.05,-,-7.80%,Nov 08 AMC,50,-,-,-28.80M,-,Biotechnology,6.20%,-21.01%,89.50%,-2.77%,0.00,565.57M,-,Yes,-,3.48,3.40,-,28.00,49.61,-,43.50%,4.92%,11.89%,5.26%,392.31%,515.38%,16.00,17.30,-,4.90,-20.90%,-26.70%,-,57.86,1.60,2.23,3.73%,27.96%,7.11%,11.40M,-,-,Healthcare,7.89%,5.60,Yes,33.36M,35.35M,17.75,CALA,4.71% 4.78%,72645,CALA_11-02-2017,1-a17412503246af50eab1338895ea919c,0.00867052023121384,-0.008670520231213952,-0.04508670520231217,-0.0791907514450868,-0.15433526011560694
CARA_11-03-2017,-59.33%,98.12%,5.85 - 28.50,0.57,917.28K,3.07,3.39,3.49,-0.0516,16.10,11-03-2017,0.01,-,-,-2.33,-4.50%,39.80%,-,-0.34,-1.86,2.40%,-109.40%,Nov 02 AMC,34,-,-,-65.00M,-,Biotechnology,3.80%,-18.66%,63.30%,-0.13%,0.01,393.97M,-,Yes,-,3.60,3.51,-,-,437.75,-,-16.81%,-11.45%,-25.21%,3.04%,31.54%,86.85%,12.22,11.59,-,16.10,-85.20%,-99.60%,-,33.59,1.90,4.98,-8.66%,-24.87%,-12.05%,0.90M,-,-,Healthcare,27.45%,9.28,Yes,31.00M,32.24M,25.14,CARA,5.60% 4.42%,339450,CARA_11-03-2017,1-0582f9c73666e24fca10dd6da1e5a3f7,0.032786885245901676,0.06816220880069035,0.10181190681622088,0.15012942191544432,0.09232096635030196
CARB_11-03-2017,0.41%,75.18%,14.10 - 24.60,0.68,346.22K,0.32,1.31,-,0.11259999999999999,1.20,11-03-2017,3.02,-,-,0.01,31.94%,-639.80%,20.97%,0.21,1.01,31.20%,80.90%,Nov 02 AMC,820,21.94,70.20%,0.70M,-,Business Software & Services,9.30%,-3.92%,96.00%,3.32%,3.02,611.83M,-5.10%,Yes,75.63,16.95,-,1585.71,52.74,2.76,0.00%,2.30%,0.23%,4.96%,-3.27%,35.37%,37.04%,22.20,24.70,0.30%,1.20,0.30%,5.00%,-71.80%,68.92,2.00,6.19,9.16%,19.48%,15.69%,221.60M,10.50%,27.90%,Technology,12.31%,8.77,Yes,24.67M,27.56M,27.00,CARB,3.30% 2.88%,159257,CARB_11-03-2017,1-4e18ba2d7a53b909ffac1744d1d9261f,-0.04251012145748989,-0.08906882591093113,-0.11336032388663975,-0.11336032388663975,-0.11740890688259109
CARG_11-15-2017,-6.75%,26.26%,25.85 - 35.00,1.91,1.14M,-,-1.40,0.79,0.09449999999999999,2.80,11-15-2017,-,-,-,-0.21,20.00%,1515.60%,-,0.00,0.11,-,-45.70%,-,514,276.11,94.80%,-22.30M,-,Auto Dealerships,44.50%,-,14.72%,-,-,3.07B,-,No,-,-,37.80,-,-,11.95,-,-,-6.37%,-,0.20%,8.12%,-,29.82,32.64,-,2.80,-,-,-9.00%,-,2.60,9.23,9.12%,9.64%,9.64%,257.20M,97.40%,-,Services,1.08%,0.60,Yes,63.11M,103.05M,29.00,CARG,4.38% 5.84%,729007,CARG_11-15-2017,1-fb0a890b61e6e18fd6e8c4dbc43aaaa7,-0.04166666666666663,-0.03125,-0.059742647058823484,-0.10416666666666674,-0.13327205882352944
CARS_11-08-2017,-27.69%,7.09%,19.90 - 29.47,0.78,1.28M,-,20.69,0.51,-0.0731,1.50,11-08-2017,0.45,-,-,2.13,-21.44%,-41.10%,15.00%,0.33,1.06,-,11.70%,Nov 08 BMO,1275,21.79,78.90%,152.30M,-,Auto Dealerships,0.30%,0.00%,-,2.08%,0.44,1.66B,24.80%,Yes,0.72,1.11,45.25,10.81,8.29,2.61,0.00%,-,-17.39%,-6.73%,-3.48%,-6.85%,-,22.99,21.31,24.00%,1.50,6.00%,7.00%,7.30%,22.08,2.00,7.40,-15.50%,-17.44%,-18.54%,633.80M,-0.10%,-,Services,38.88%,20.49,Yes,67.23M,72.03M,30.50,CARS,3.51% 3.00%,679170,CARS_11-08-2017,1-919aa33cd951e3a4434311189caf8cb5,0.07555138432660735,0.06522759267949318,0.06757390896292836,0.0750821210699204,0.09572970436414852
CASH_10-31-2017,-15.13%,49.46%,60.70 - 106.90,2.10,117.64K,0.88,46.01,8.93,0.09970000000000001,-,10-31-2017,0.86,0.52,0.63%,5.32,63.52%,0.20%,-,-0.33,7.02,21.30%,47.40%,Oct 30 AMC,672,11.76,-,49.20M,-,Savings & Loans,1.00%,-16.56%,75.50%,-0.17%,0.86,756.53M,76.40%,No,-,1.79,9.24,15.52,11.84,7.50,10.90%,-4.35%,5.23%,16.77%,1.23%,-19.83%,12.63%,82.50,90.72,42.90%,-,1.10%,11.20%,16.00%,72.21,2.00,3.41,12.31%,7.55%,19.87%,100.90M,38.90%,15.80%,Financial,3.71%,2.76,Yes,8.76M,9.17M,94.50,CASH,2.17% 2.69%,29836,CASH_10-31-2017,1-c99a60ec5e644011c4dffc809c02d078,-0.022817460317460236,-0.03185626102292771,-0.052579365079365004,-0.05147707231040566,-0.05368165784832457
CATM_11-03-2017,-65.09%,7.07%,18.26 - 56.00,1.03,603.10K,0.76,11.13,1.17,0.058499999999999996,0.80,11-03-2017,1.92,-,-,1.45,-10.12%,-25.50%,14.00%,0.86,2.51,4.00%,30.00%,Nov 02 AMC,1734,7.35,33.90%,66.70M,-,Business Services,1.41%,0.00%,-,-0.32%,1.92,841.49M,8.40%,Yes,0.91,1.66,15.82,12.74,11.36,0.61,0.00%,-48.78%,-21.64%,-31.24%,-19.73%,-66.15%,-61.77%,18.47,19.55,4.80%,0.80,4.00%,14.60%,12.50%,28.44,2.60,3.38,-16.62%,-44.94%,-22.14%,1.38B,18.90%,15.20%,Services,11.08%,8.27,Yes,45.01M,45.56M,37.00,CATM,7.35% 4.08%,151431,CATM_11-03-2017,1-a63a7d80491ec240e5818bc5046f81ff,-0.1048593350383632,-0.15805626598465472,-0.12020460358056273,-0.12941176470588245,-0.1370843989769821
CATO_11-16-2017,-59.73%,18.85%,12.20 - 36.01,0.44,314.20K,1.15,14.40,9.58,0.09269999999999999,2.80,11-16-2017,0.00,1.32,9.95%,0.65,5.88%,-101.80%,10.00%,0.00,0.90,-4.80%,-27.90%,Nov 16 BMO,10200,14.74,34.30%,16.40M,-,Apparel Stores,0.40%,15.75%,87.10%,-4.74%,0.00,329.10M,0.00%,Yes,2.04,0.92,1.39,20.45,13.38,0.38,203.30%,-38.37%,0.30%,1.53%,3.92%,-55.88%,-62.25%,13.27,14.50,1.90%,2.10,2.80%,4.30%,10.50%,66.57,3.00,2.27,10.06%,-20.54%,9.40%,876.40M,-60.70%,0.50%,Services,7.17%,5.21,Yes,22.83M,24.80M,15.00,CATO,3.82% 3.12%,49578,CATO_11-16-2017,1-bc138ce332697b3f0f99ef7121a628f4,0.09862068965517246,0.12758620689655187,0.13655172413793104,0.10206896551724132,0.0772413793103448
CAVM_11-20-2017,5.17%,52.26%,53.73 - 77.79,1.93,805.66K,1.24,10.96,2.20,0.0789,2.90,11-20-2017,0.85,-,-,-2.81,25.82%,60.90%,31.15%,0.81,3.56,24.88%,-687.80%,Nov 01 AMC,1831,21.32,48.20%,-189.40M,-,Semiconductor - Broad Line,0.30%,-14.36%,-,5.19%,0.81,5.27B,-7.80%,Yes,-,6.92,34.54,-,48.70,5.55,-,4.48%,9.88%,26.09%,-1.97%,21.44%,35.99%,75.83,81.81,-19.90%,2.30,-12.10%,-25.70%,-9.10%,74.02,2.00,51.34,13.02%,20.80%,18.11%,949.80M,49.90%,18.40%,Technology,7.64%,6.34,Yes,66.87M,69.56M,79.94,CAVM,1.74% 2.53%,2874274,CAVM_11-20-2017,1-e235c8b7609047a16d719713d6a5dfbb,0.04327099376604315,0.07786334188974453,0.08544187752108545,0.07077374404107073,
CAVM_11-06-2017,0.36%,50.64%,50.81 - 76.26,1.84,797.91K,1.27,10.71,1.86,0.121,2.70,11-06-2017,0.87,-,-,-2.81,26.35%,-26.00%,31.00%,0.81,3.56,29.65%,-687.80%,Nov 01 AMC,1831,19.19,48.20%,-189.40M,-,Semiconductor - Broad Line,0.50%,-20.84%,-,0.15%,0.84,4.66B,-17.80%,Yes,-,6.37,36.63,-,194.00,4.90,-,-1.88%,-1.23%,11.77%,-1.36%,9.34%,30.51%,68.27,76.53,-20.40%,2.10,-12.00%,-25.60%,-9.10%,71.52,2.00,22.85,11.68%,13.92%,15.29%,949.80M,125.80%,18.40%,Technology,8.39%,6.99,Yes,66.49M,68.20M,78.88,CAVM,3.54% 2.36%,1267154,CAVM_11-06-2017,1-7427785ae079f57ee5f26c0ae059e365,-0.0037893636482425608,-0.004965373056317723,-0.000653338560041794,0.009016072128577024,-0.006141382464392997
CBAY_11-09-2017,-6.17%,666.96%,1.15 - 9.40,0.46,773.02K,2.14,0.07,0.38,0.0588,1.50,11-09-2017,3.57,-,-,-1.06,9.80%,-4.10%,-,-0.19,-0.74,5.30%,-38.40%,Nov 08 AMC,21,-,-,-27.10M,-,Biotechnology,0.50%,-63.00%,35.00%,34.72%,2.19,368.35M,-,Yes,-,119.00,22.06,-,-,76.74,-,130.11%,-6.82%,25.08%,-5.56%,381.50%,550.78%,8.33,8.82,-,1.50,-122.90%,-425.00%,-,57.15,1.70,1.64,2.53%,63.57%,12.58%,4.80M,-,-,Healthcare,4.65%,2.61,Yes,43.37M,44.22M,13.57,CBAY,4.02% 5.65%,91407,CBAY_11-09-2017,1-d8fe529eb681863f3c957a9e3b42bdb8,0.030612244897959107,-0.052154195011338,-0.07256235827664403,-0.04195011337868493,-0.0374149659863946
CBL_11-03-2017,-50.67%,-14.77%,7.14 - 12.35,0.27,3.20M,1.28,6.98,0.17,-0.2378,-,11-03-2017,3.56,1.06,13.27%,0.59,-37.77%,-41.70%,4.90%,0.10,0.37,12.50%,118.40%,Nov 02 AMC,586,21.36,72.30%,100.50M,-,REIT - Retail,1.10%,0.27%,-,0.43%,3.56,1.39B,26.80%,Yes,2.78,1.14,46.88,13.61,6.98,1.42,180.30%,-4.20%,-5.89%,-8.06%,-1.24%,-30.52%,-25.19%,7.99,6.09,10.30%,-,1.70%,8.30%,4.50%,15.45,2.90,23.80,-26.73%,-31.46%,-26.97%,977.50M,-10.10%,0.20%,Financial,25.61%,13.40,Yes,167.33M,173.68M,8.84,CBL,4.04% 3.01%,5658551,CBL_11-03-2017,1-ae815d3bd665c2b8f7efe5e1c2f070ae,-0.04105090311986859,-0.064039408866995,-0.08210180623973728,-0.009852216748768461,-0.07717569786535294
CCI_11-06-2017,2.74%,43.22%,79.38 - 110.65,2.10,2.28M,0.23,20.82,0.49,0.0674,1.00,11-06-2017,1.82,4.20,3.94%,1.21,1.99%,38.30%,16.11%,0.21,1.08,12.90%,-34.00%,Oct 18 AMC,3200,98.90,63.40%,441.20M,S&P 500,Diversified Communication Services,0.10%,0.96%,85.60%,-0.23%,1.81,43.22B,23.30%,Yes,5.49,5.12,216.40,88.39,-,10.41,314.90%,11.69%,4.86%,5.30%,3.22%,22.75%,21.49%,106.51,113.69,9.80%,1.00,1.70%,5.60%,4.50%,74.86,2.20,4.88,9.65%,15.79%,9.58%,4.15B,7.90%,14.00%,Technology,2.74%,4.87,Yes,404.89M,405.74M,112.00,CCI,3.21% 2.01%,773605,CCI_11-06-2017,1-9eb5a7cda2a8ea586783e69cc6e0d408,-0.007388512622042431,0.001143460286744613,-0.002990588442255304,-0.006069135368106271,-0.009323599261148785
CCJ_11-27-2017,-31.14%,19.79%,7.68 - 13.36,0.33,2.12M,1.25,9.84,0.69,-0.0707,5.40,11-27-2017,0.00,0.31,3.37%,-0.57,525.00%,-187.00%,23.87%,0.28,0.17,-16.40%,-194.40%,Oct 27 BMO,3580,53.80,15.90%,-226.40M,-,Industrial Metals & Minerals,0.20%,0.00%,70.10%,-0.90%,0.30,3.67B,-8.40%,Yes,-,0.93,13.28,-,19.89,2.09,-,-2.02%,4.07%,-6.31%,-2.02%,-12.13%,-0.65%,9.90,9.20,-12.90%,2.20,-3.60%,-5.60%,-0.70%,48.22,2.40,1.76,2.23%,-7.80%,-0.60%,1.76B,-27.50%,0.40%,Basic Materials,4.65%,8.67,Yes,395.16M,399.44M,10.85,CCJ,3.53% 3.85%,3726315,CCJ_11-27-2017,1-d2115ba0ac127d9d7bc870156e61327c,,,,,
CCOI_11-02-2017,-9.66%,43.83%,34.45 - 54.85,1.16,345.05K,0.64,-1.59,5.71,-0.0747,4.30,11-02-2017,-,1.84,3.44%,0.35,64.69%,1.60%,30.42%,0.13,0.78,15.10%,206.90%,Nov 02 BMO,897,68.74,56.90%,15.80M,-,Diversified Communication Services,9.80%,-0.97%,98.00%,0.57%,-,2.40B,14.70%,Yes,5.02,-,9.37,152.56,-,5.16,464.10%,29.98%,5.21%,26.45%,5.10%,29.50%,47.32%,53.55,49.55,3.40%,4.30,2.20%,-27.70%,8.40%,47.34,2.60,3.20,-2.19%,14.05%,2.24%,465.60M,8.90%,7.90%,Technology,8.10%,9.72,Yes,41.42M,44.89M,45.43,CCOI,2.54% 2.15%,76709,CCOI_11-02-2017,1-426cadcacf1dbd8143a2da37306b3ba5,-0.08012108980827448,-0.09586276488395562,-0.07669021190716441,-0.07769929364278494,-0.08879919273461145
CCOI_11-06-2017,-18.32%,25.31%,35.75 - 54.85,1.90,371.22K,0.68,-1.79,4.95,0.0516,4.20,11-06-2017,-,1.84,4.32%,0.36,63.39%,4.70%,28.00%,0.13,0.71,15.10%,206.90%,Nov 02 BMO,897,59.66,56.80%,16.00M,-,Diversified Communication Services,9.80%,-0.85%,95.30%,-2.08%,-,2.16B,14.80%,Yes,4.29,-,8.61,120.00,-,4.54,481.40%,4.54%,-17.04%,-1.39%,-19.17%,3.02%,15.45%,42.60,44.80,3.40%,4.20,2.20%,-23.90%,8.40%,38.20,2.60,3.16,-10.46%,3.05%,-7.61%,475.50M,8.80%,7.90%,Technology,8.10%,9.03,Yes,41.41M,50.68M,45.43,CCOI,7.04% 3.26%,81539,CCOI_11-06-2017,1-43b3d9821f0f7a857d60ceeffbc995bc,0.021205357142857206,0.02008928571428581,0.0078125,0.0078125,0.0078125
CCS_11-03-2017,1.37%,55.79%,19.00 - 29.20,0.70,244.25K,1.09,23.56,12.53,0.06860000000000001,-,11-03-2017,1.51,-,-,2.38,62.13%,-33.50%,26.40%,0.41,3.44,35.87%,24.40%,Nov 02 AMC,589,8.05,19.40%,51.30M,-,Residential Construction,3.70%,0.00%,65.40%,-0.07%,0.00,744.85M,6.80%,Yes,0.44,1.18,2.21,11.62,-,0.70,0.00%,4.33%,9.92%,10.80%,2.40%,31.90%,44.27%,27.70,29.60,4.80%,-,4.60%,10.60%,5.10%,76.25,1.60,1.69,11.15%,19.13%,19.00%,1.07B,-34.20%,69.80%,Industrial Goods,2.81%,2.26,Yes,19.66M,26.89M,30.60,CCS,3.41% 2.34%,30754,CCS_11-03-2017,1-9aaeaf28572f77582159220fc1da84a2,-0.0016891891891892552,-0.045608108108108114,-0.03716216216216217,-0.05236486486486491,-0.03547297297297303
CCU_11-20-2017,-11.82%,28.55%,19.79 - 28.85,0.55,140.26K,0.34,9.39,1.06,-0.0674,1.70,11-20-2017,0.20,0.53,1.94%,1.11,6.31%,57.20%,11.37%,0.46,1.23,-3.60%,-1.90%,Nov 14,8210,22.18,52.80%,205.80M,-,Beverages - Brewers,62.00%,0.00%,18.10%,-2.30%,0.15,5.04B,13.30%,No,2.15,2.91,25.82,24.49,22.66,1.90,0.00%,5.13%,-3.54%,-1.09%,-0.80%,30.03%,34.58%,27.28,25.44,7.80%,1.10,7.00%,11.90%,13.00%,28.66,3.10,4.33,-8.21%,-2.79%,-7.28%,2.65B,10.60%,10.00%,Consumer Goods,2.08%,7.18,Yes,48.53M,184.83M,25.57,CCU,2.00% 1.95%,42232,CCU_11-20-2017,1-b40a7d01c8efa646aa58639da0977056,0.03970125786163514,0.0558176100628931,0.03537735849056589,0.031053459119496862,
CCXI_11-08-2017,-30.34%,22.68%,6.13 - 10.80,0.36,141.56K,1.51,0.85,2.53,0.060599999999999994,2.80,11-08-2017,0.00,-,-,-0.62,-51.10%,12.10%,-,-0.26,-1.36,-45.70%,20.10%,Nov 07 AMC,62,-,-,-30.00M,-,Biotechnology,1.30%,-20.77%,50.50%,-1.63%,0.00,340.53M,-,Yes,-,8.34,2.80,-,-,12.95,-,0.14%,-12.14%,-9.68%,7.91%,-4.19%,5.51%,7.09,7.52,-,2.80,-20.60%,-62.60%,-,57.01,2.30,1.17,5.39%,-0.68%,2.79%,26.30M,217.90%,-17.70%,Healthcare,6.55%,13.36,Yes,28.86M,48.03M,13.00,CCXI,4.45% 4.96%,11953,CCXI_11-08-2017,1-7ef32ef939279ea2aa2038c643902763,0.013297872340425565,-0.010638297872340274,-0.051861702127659504,-0.039893617021276584,-0.04122340425531912
CDEV_11-08-2017,-10.27%,49.06%,13.31 - 22.11,0.65,1.29M,-,12.17,-,-0.056100000000000004,0.30,11-08-2017,0.00,-,-,-1.24,94.94%,-,-3.10%,0.05,0.46,-,-78.60%,Nov 06 AMC,59,45.50,90.70%,-196.30M,-,USA,0.80%,1.04%,-,-0.28%,0.01,5.12B,-,Yes,-,1.73,-,-,-,20.38,-,28.88%,14.68%,28.25%,8.18%,6.59%,37.48%,21.02,19.84,-,0.30,-,-,-9.10%,58.23,-,12.21,3.84%,14.65%,7.93%,251.00M,290.00%,-,Oil & Gas Pipelines,19.36%,18.67,Yes,124.83M,243.39M,7.76,CDEV,4.37% 3.28%,1136462,CDEV_11-08-2017,1-979c6616f6fdcd0d0812c13819f86816,0.010584677419354982,0.016129032258064502,0.014112903225806495,-0.016633064516128893,-0.02368951612903225
CC_11-03-2017,-11.39%,223.68%,15.90 - 58.08,1.32,1.91M,-,3.06,8.26,-0.0782,2.00,11-03-2017,7.18,0.12,0.21%,1.48,32.30%,949.20%,1.50%,1.04,4.73,-65.60%,107.70%,Nov 02 AMC,7000,11.81,25.10%,285.00M,-,Specialty Chemicals,0.30%,-17.94%,78.40%,0.06%,7.15,10.33B,5.70%,Yes,25.08,18.25,6.76,37.62,28.54,1.80,7.80%,35.38%,5.30%,13.22%,-1.38%,152.74%,243.57%,55.83,51.47,5.00%,1.50,4.40%,81.60%,-1.50%,33.57,1.80,6.43,-8.34%,22.83%,-2.14%,5.75B,14.80%,-7.50%,Basic Materials,2.02%,1.95,Yes,184.33M,185.07M,60.00,CC,2.62% 2.23%,912882,CC_11-03-2017,1-805760807230f0e4a95ffdceff2e34a1,0.03963473868272782,-0.01690305032057504,-0.02098309694967937,-0.027006022925976314,-0.00446862249854274
CDK_10-31-2017,-6.98%,16.54%,53.87 - 67.49,0.79,879.92K,-,-0.52,5.23,-0.053899999999999997,2.30,10-31-2017,-,0.56,0.84%,1.99,24.58%,8.30%,10.00%,0.67,3.69,14.70%,31.70%,Oct 31 BMO,8900,18.01,44.40%,295.60M,-,Application Software,0.20%,1.83%,87.20%,0.34%,-,9.22B,22.00%,Yes,3.33,-,12.70,33.33,28.94,4.15,27.60%,5.40%,5.18%,3.66%,1.19%,11.17%,22.05%,66.36,62.78,13.30%,2.30,11.50%,185.50%,17.00%,35.26,1.80,3.26,-3.88%,-1.29%,-1.56%,2.22B,4.30%,5.50%,Technology,3.71%,5.86,Yes,138.90M,138.92M,72.60,CDK,1.32% 1.15%,213089,CDK_10-31-2017,1-34044cdd9821a6b8aa6edef940904001,0.01338005734310288,0.003982159923542561,0.011468620579802469,0.02628225549538077,0.008442179037910114
CEA_11-27-2017,-5.45%,40.32%,21.38 - 31.73,0.76,12.72K,1.35,28.33,3.01,-0.049100000000000005,0.30,11-27-2017,2.42,0.36,1.20%,2.95,-,6.80%,-,-,-,-4.30%,-8.00%,Dec 01 AMC,72377,-,20.80%,852.60M,-,Major Airlines,58.20%,0.00%,1.40%,0.87%,1.54,12.97B,11.50%,No,-,1.06,9.96,10.18,3.97,0.84,12.90%,2.11%,18.44%,10.78%,8.42%,34.23%,27.99%,31.55,30.00,5.60%,0.30,2.60%,11.80%,6.50%,67.90,-,1.17,12.79%,8.58%,15.88%,15.35B,9.10%,3.70%,Services,0.02%,1.05,Yes,67.21M,432.24M,175.07,CEA,1.05% 0.96%,14935,CEA_11-27-2017,1-27d565034ba721c71b8509629c1cf474,,,,,
CEA_11-22-2017,1.35%,46.49%,21.38 - 30.90,0.55,12.16K,1.34,28.13,2.84,0.1026,0.30,11-22-2017,2.42,0.36,1.27%,2.92,-,6.80%,-,-,-,-4.30%,-8.00%,Dec 01 AMC,72377,-,20.80%,846.30M,-,Major Airlines,58.20%,0.00%,1.40%,0.66%,1.54,12.93B,11.50%,No,-,1.01,10.01,9.71,3.99,0.85,12.90%,1.74%,11.97%,5.36%,8.79%,27.09%,25.13%,28.41,31.32,5.60%,0.30,2.60%,11.80%,6.50%,80.24,-,6.16,20.54%,13.55%,21.84%,15.24B,9.10%,3.70%,Services,0.02%,1.09,Yes,67.21M,455.28M,175.07,CEA,1.15% 0.95%,5205,CEA_11-22-2017,1-c8acb8913091168017215531fa00cfb7,0.007343550446998748,-0.04214559386973182,,,
