,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Week,Month,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
HBI_11-02-2017,26.05,18.91,0.58,4430000,0.75,2.95,1.22,-0.0536,2,11/2/2017,3.92,0.6,0.0273,1.52,0.0842,0.397,0.1007,0.6,2.15,0.18,0.314,Nov 01 AMC,67800,10.23,0.388,573800000,S&P 500,Textile - Apparel Clothing,0.005,-0.0901,0.976,0.0071,3.52,8130000000,0.123,Yes,1.44,7.46,18.08,14.46,16.14,1.28,0.339,0.0541,-0.0775,-0.0768,-0.0338,0.0204,-0.1182,22.01,20.83,0.09,0.9,0.08,0.516,0.149,20.79,2.3,6.27,-0.1012,-0.0692,-0.1345,6.36B,0.118,0.063,Consumer Goods,0.1643,13.37,Yes,360870000,369330000,26.57,HBI,2067796,0.0225,0.0225,-0.048487758,-0.070571291,-0.078732597,-0.057129141,-0.086893903,-0.084973596,-0.090254441
HCA_11-30-2017,91.03,70,2.01,2540000,0.53,-18.82,1.99,0.0606,1.7,11/30/2017,,,,7.03,0.1009,-0.274,0.0927,1.88,7.27,0.08,0.463,Oct 31 BMO,180000,11.69,0.832,2660000000,S&P 500,Hospitals,0.001,-0.217,0.774,0.0023,,30660000000,0.145,Yes,1.3,,42.7,12.09,12.35,0.72,0,0.02,0.1236,0.0806,0.1029,0.1483,0.199,80.14,85,0.062,1.4,0.077,-0.382,0.21,72.79,2,3.25,0.1027,0.0366,0.099,42.69B,0.041,0.069,Healthcare,0.0513,5.94,Yes,294290000,360690000,86.85,HCA,8261453,0.027,0.0215,,,,,,,
HCC_11-24-2017,30.49,15.1,1.73,736040,,17.33,4.76,-0.313,5.8,11/24/2017,0,0.2,0.0097,7.42,-0.6006,1.834,0.07,0.7,3.07,0.108,0.641,Nov 09 AMC,1130,6.7,0.458,391900000,,Property & Casualty Insurance,0.006,-0.0558,,0.0012,0,1090000000,0.362,Yes,0.4,1.19,4.32,2.77,11.55,1,0.013,0.1998,-0.2471,-0.229,-0.2664,0.1411,,29.9,20.54,0.362,5.4,0.397,0.501,-0.133,28.25,3,2.93,-0.245,-0.055,-0.1949,1.08B,0.446,,Financial,0.0603,4.33,Yes,52880000,52880000,65,HCC,2154982,0.0453,0.0368,-0.007789679,0.007789679,0.036514119,0.081791626,,,
HCI_11-03-2017,50.93,25.5,0.97,159160,2.3,28.04,29.41,-0.0515,,11/3/2017,0.98,1.4,0.0379,3.35,4.7134,-0.328,0.25,-2.35,3.87,0.169,-0.505,Nov 02 AMC,328,9.54,,35300000,,Property & Casualty Insurance,0.103,0.0015,0.787,0.0053,0.98,372050000,0.261,Yes,0.44,1.32,1.25,11.03,10.94,1.33,0.329,-0.2035,-0.0035,-0.1615,-0.0463,-0.0651,0.3918,36.91,35.01,0.126,,0.048,0.147,0.105,38.45,2.2,1.51,-0.0794,-0.188,-0.0638,279.50M,-0.448,0.232,Financial,0.2051,10.25,Yes,7960000,10080000,46.75,HCI,17871,0.0276,0.024,-0.087974864,-0.097400743,-0.072836332,-0.064267352,-0.083119109,-0.108254784,-0.110825478
HESM_11-30-2017,26.78,18.32,0.86,94410,,9.31,0.87,0.065,2.1,11/30/2017,0,1.24,0.0587,1.37,0.2819,-0.634,0.14,0.27,1.24,,0.067,Oct 26 BMO,186,17.09,,74300000,,USA,0.4753,,0.569,-0.0094,0,1170000000,0.48,Yes,1.1,2.27,24.42,15.42,5.44,2.19,0.197,-0.0939,0.0645,0.0038,0.1156,-0.1742,,19.85,21.14,0.139,,,,0.092,61.88,2,2.06,0.0712,-0.0357,0.0157,535.60M,0.233,,Oil & Gas Equipment & Services,0.024,3.64,Yes,14310000,55440000,26.29,HESM,194689,0.0563,0.0391,,,,,,,
HFC_11-01-2017,37.42,22.63,0.85,2900000,1.19,26.19,2.61,0.0555,1.9,11/1/2017,0.48,1.32,0.0357,0.79,0.4167,1.147,0.723,0.9,2.49,-0.174,-1.38,Nov 01 BMO,2676,14.83,0.166,138600000,,Oil & Gas Refining & Marketing,0.0057,0,0.89,0.0027,0.48,6520000000,0.025,Yes,0.65,1.41,14.16,46.95,15,0.53,1.675,0.3595,0.0235,0.2119,0.0151,0.1279,0.481,36.95,39,0.011,0.9,0.015,0.03,-0.019,78.37,2.9,1.21,0.0741,0.3292,0.1425,12.34B,-0.269,-0.074,Basic Materials,0.0736,4.48,Yes,176260000,176450000,35.92,HFC,261294,0.0245,0.0226,0.033076923,0.037435897,0.045641026,0.064615385,0.072564103,0.075384615,0.09
HIBB_11-20-2017,43.4,9.4,0.87,810610,0.7,15.68,2.54,0.0702,3,11/20/2017,0,,,2.03,0.0098,-1.527,0.013,0.25,1.35,0.049,-0.068,Nov 17 BMO,3200,12.7,0.336,44400000,,Sporting Goods Stores,0.002,1.5876,0.95,-0.1248,0,355360000,0.091,Yes,6.49,1.09,6.73,8.44,7.28,0.38,0,-0.2948,0.2714,0.576,0.2214,-0.5416,-0.6225,17.1,18.3,0.057,0.6,0.117,0.163,0.182,81.94,3.1,2.13,0.3364,-0.1133,0.3364,947.60M,-0.091,0.058,Services,0.1917,4.79,Yes,20280000,20780000,11.38,HIBB,132623,0.0676,0.0523,-0.005464481,0.03715847,-0.021857923,-0.012021858,0.054644809,0.081967213,0.090163934
HIBB_11-21-2017,43.4,9.4,0.98,773210,0.7,15.68,2.54,-0.0643,3,11/21/2017,0,,,2.03,0.0098,-1.527,0.013,0.25,1.35,0.049,-0.068,Nov 17 BMO,3200,14.45,0.336,44400000,,Sporting Goods Stores,0.002,1.5876,0.95,-0.1248,0,404190000,0.091,Yes,7.38,1.24,7.66,9.6,8.28,0.43,0,-0.1828,0.3794,0.7444,0.4197,-0.4786,-0.5186,19.45,18.2,0.057,0.6,0.117,0.163,0.182,72.23,3.1,4.01,0.3022,-0.1154,0.3164,947.60M,-0.091,0.058,Services,0.1917,5.03,Yes,20280000,20780000,11.38,HIBB,238012,0.0871,0.056,0.042857143,-0.016483516,-0.006593407,0.06043956,0.087912088,0.096153846,
HIBB_11-17-2017,45.5,9.4,0.64,783350,0.71,15.68,2.59,0.1818,3,11/17/2017,0,,,2.03,-0.0276,-1.527,0.013,0.22,1.27,0.049,-0.068,Nov 17 BMO,3200,11.72,0.336,44400000,,Sporting Goods Stores,0.002,1.6688,0.95,-0.0225,0,302790000,0.075,Yes,5.64,0.95,5.73,7.33,6.2,0.32,0,-0.3774,0.1041,0.3624,0.0683,-0.6019,-0.6667,14.85,17.55,0.047,0.6,0.096,0.134,0.182,80.01,3.1,11.61,0.2958,-0.1527,0.2906,947.60M,-0.091,0.058,Services,0.1917,4.96,Yes,20280000,20390000,11.29,HIBB,698513,0.0486,0.0469,0.042735043,0.037037037,0.081481481,0.01994302,0.03019943,0.0997151,0.128205128
HIBB_11-24-2017,43.4,9.4,1.08,777370,0.7,15.68,2.54,-0.0653,3,11/24/2017,0,,,2.03,0.0098,-1.527,0.013,0.25,1.35,0.049,-0.068,Nov 17 BMO,3200,13.3,0.336,44400000,,Sporting Goods Stores,0.002,1.5876,0.95,-0.1248,0,371980000,0.091,Yes,6.8,1.14,7.05,8.84,7.62,0.39,0,-0.2479,0.3114,0.4917,0.2054,-0.5201,-0.5687,19.15,17.9,0.057,0.6,0.117,0.163,0.182,66.1,3.1,0.84,0.2354,-0.1242,0.2757,947.60M,-0.091,0.058,Services,0.1917,5,Yes,20280000,20780000,11.38,HIBB,653621,0.099,0.0616,0.010055866,0.078212291,0.106145251,0.11452514,,,
