,52W High,52W Low,ATR,Avg Volume,Beta,Book\/sh,Cash\/sh,Change,Current Ratio,Date,Debt\/Eq,Dividend,Dividend %,EPS (ttm),EPS Next Y Perc,EPS Q\/Q,EPS next 5Y,EPS next Q,EPS next Y,EPS past 5Y,EPS this Y,Earnings,Employees,Forward P\/E,Gross Margin,Income,Index,Industry,Insider Own,Insider Trans,Inst Own,Inst Trans,LT Debt\/Eq,Market Cap,Oper. Margin,Optionable,PEG,P\/B,P\/C,P\/E,P\/FCF,P\/S,Payout,Perf Half Y,Perf Month,Perf Quarter,Perf Week,Perf YTD,Perf Year,Prev Close,Price,Profit Margin,Quick Ratio,ROA,ROE,ROI,RSI (14),Recom,Rel Volume,SMA20,SMA200,SMA50,Sales,Sales Q\/Q,Sales past 5Y,Sector,Short Float,Short Ratio,Shortable,Shs Float,Shs Outstand,Target Price,Ticker,Volume,Week,Month,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
CPRT_11-22-2017,36.76,26.47,0.47,1130000,1.24,4.77,,0.0834,1.9,11/22/2017,0.58,,,1.66,0.1373,-0.16,0.223,0.27,1.63,0.191,0.503,Nov 21 AMC,5323,22.49,0.436,394200000,,Auto Dealerships,0.1289,-0.0118,0.798,-0.0074,0.5,8580000000,0.319,Yes,0.99,7.69,,22.08,26.81,5.92,0,0.2241,0.0152,0.1545,0.0229,0.3247,0.3051,36.7,39.76,0.272,1.9,0.213,0.414,0.24,81.59,2.7,5.1,0.1042,0.2441,0.1269,1.45B,0.138,0.094,Services,0.0376,6.73,Yes,201350000,233690000,34.63,CPRT,398813,0.0145,0.0131,0.067907445,0.05055332,0.051056338,0.059607646,0.085513078,,
CPRX_11-30-2017,4.07,1.01,0.25,983930,1.52,0.37,0.41,0.0831,12.6,11/30/2017,0,,,-0.21,-0.273,-0.033,,-0.06,-0.28,0.058,0.129,Nov 08 AMC,18,,,-17200000,,Drugs - Generic,0.08,0.0031,0.428,0.051,0,351870000,,Yes,,11.62,10.38,,,,,0.8696,0.5035,0.5636,0.2798,3.0952,2.945,3.97,4.3,,12.6,-0.458,-0.491,,85.36,2,3.31,0.3608,0.8259,0.5148,,,,Healthcare,0.0468,3.42,Yes,71840000,81830000,5.44,CPRX,3259369,0.1106,0.0726,,,,,,,
CQH_11-30-2017,27.45,20.16,0.59,96280,0.96,0,0,0.0642,0.9,11/30/2017,,0.51,0.0183,0.08,1.3383,0.043,,0.45,1.74,0,-0.021,9-Nov,,16.06,,18000000,,Oil & Gas Pipelines,0.451,0,0.178,-0.016,,6440000000,0.888,Yes,,,9200.57,357.18,,317.26,1.03,0.0557,0.1126,0.1086,0.0744,0.2454,0.2687,26.18,27.86,0.885,0.9,,,59.327,72.67,2.5,7.24,0.0619,0.0977,0.0914,20.30M,0,,Basic Materials,0.0066,8.67,Yes,127210000,231170000,27.33,CQH,696925,0.0253,0.0234,,,,,,,
CRAY_10-31-2017,22.85,16.1,0.61,282330,1.64,12.55,6.05,0.0556,3.2,10/31/2017,0,,,-0.07,0.319,0.483,0.2,-0.49,-0.77,-0.082,-0.618,Oct 30 AMC,1312,,0.344,2700000,,Diversified Computer Systems,0.014,-0.0034,,0,0,788320000,-0.017,Yes,,1.51,3.12,,25.27,1.38,0,0.0189,-0.0283,-0.0758,-0.0026,-0.087,-0.094,18.9,19.95,0.005,2.2,0.004,0.005,0.019,58.09,2,5.13,0.0334,0.0494,0.0495,570.20M,-0.131,0.217,Technology,0.0828,11.6,Yes,39580000,41710000,21.33,CRAY,107617,0.0377,0.0302,0.009022556,-0.005012531,-0.002506266,-0.037593985,-0.067669173,-0.062656642,-0.045112782
CRAY_11-21-2017,22.55,16.1,0.78,277680,1.68,12.3,4.53,0.0937,3.7,11/21/2017,0,,,0.25,0.245,0.558,0.2,0.24,-0.74,-0.082,-0.618,Oct 30 AMC,1312,,0.351,15500000,,Diversified Computer Systems,0.014,-0.0746,,0.001,0,846740000,-0.005,Yes,4.22,1.74,4.71,84.39,36.5,1.48,0,0.2028,0.1603,0.1796,0.1356,0.0314,0.1091,21.35,23.35,0.027,2.1,0.023,0.03,0.019,74.67,1.8,3.38,0.2055,0.2156,0.2078,572.40M,0.028,0.217,Technology,0.0782,11.16,Yes,39650000,39660000,23.75,CRAY,67438,0.0467,0.0435,0.006423983,-0.023554604,-0.042826552,-0.021413276,-0.032119914,-0.025695931,
CRBP_11-28-2017,10.5,5.3,0.37,725730,,0.64,0.66,0.0699,6,11/28/2017,0,,,-0.62,-0.098,-0.136,,-0.16,-0.67,,-0.722,9-Nov,25,,,-29300000,,Biotechnology,0.019,0.0406,0.271,-0.041,0,425800000,,Yes,,11.95,11.63,,,152.07,,0.2339,0.0775,0.0929,0.0929,-0.0947,-0.0727,7.15,7.65,,6,-0.774,-0.96,-2.172,63.35,2,1.14,0.0991,0.085,0.0903,2.80M,0.143,,Healthcare,0.1341,8.7,Yes,47050000,55660000,24,CRBP,824942,0.045,0.0485,0.013071895,0.006535948,,,,,
CRC_11-01-2017,23.42,6.47,0.62,1360000,,-12.71,0.23,0.0798,0.6,11/1/2017,,,,11.18,0.361,0.677,-0.118,-1.63,-3.61,-0.231,1.073,Nov 06 AMC,2000,,0.588,467000000,,Independent Oil & Gas,0.025,0.002,0.771,-0.0076,,437230000,0.433,Yes,,,48.58,0.99,17.49,0.21,0,-0.023,0.0308,0.4551,0.1209,-0.4819,0.075,11.03,11.91,0.225,0.5,0.074,-0.896,0.139,69.75,3.3,4.85,0.1568,-0.008,0.2767,2.08B,0.628,-0.17,Basic Materials,0.3621,10.38,Yes,38970000,39640000,11.43,CRC,490017,0.0801,0.0519,-0.008396306,-0.034424853,0.053736356,0.294710327,0.306465155,0.339210747,0.339210747
CRC_11-15-2017,23.42,6.47,1,1550000,,-15.62,0.65,-0.0558,0.6,11/15/2017,,,,-5,0.38,-1.238,-0.102,-0.93,-3.22,-0.231,1.073,Nov 06 AMC,2000,,0.578,-212000000,,Independent Oil & Gas,0.025,0.0019,0.77,-0.0078,,658520000,0.08,Yes,,,23.52,,,0.32,,0.2605,0.4514,1.2917,-0.0499,-0.2842,0.2192,15.24,14.39,-0.103,0.5,-0.034,0.376,0.166,61.51,3,2.3,0.1647,0.2341,0.3351,2.05B,-0.053,-0.149,Basic Materials,0.3579,9,Yes,38960000,43210000,14.79,CRC,247560,0.0685,0.0785,0.03752606,0.071577484,0.058373871,0.025017373,0.049339819,0.059068798,0.034051425
CRC_11-30-2017,23.42,6.47,0.99,1600000,,-15.62,0.66,0.0557,0.6,11/30/2017,,,,-5,0.351,-1.238,-0.116,-0.89,-3.26,-0.231,1.073,Nov 06 AMC,2000,,0.578,-212000000,,Independent Oil & Gas,0.022,0,0.78,0.0067,,663330000,0.08,Yes,,,23.69,,,0.32,,0.5272,0.4261,1.0167,0.0494,-0.2612,-0.096,14.9,15.73,-0.103,0.5,-0.034,0.376,0.166,62.79,3,1.58,0.0639,0.3776,0.296,2.05B,-0.053,-0.149,Basic Materials,0.3396,8.69,Yes,41060000,42170000,15.43,CRC,2535390,0.0429,0.0726,,,,,,,
CRD-B_11-06-2017,14.37,8.22,0.33,39320,1.83,3.06,1.17,-0.118,1.7,11/6/2017,1.44,0.2,0.0176,0.64,0.1343,0.165,0.1,0.22,0.87,-0.052,1.778,Nov 06 BMO,9190,13.06,0.278,36600000,,Insurance Brokers,0.079,,0.398,-0.0023,1.41,582310000,0.062,No,1.76,3.71,9.71,17.64,12.18,0.51,0.305,0.1498,-0.051,0.2375,-0.0462,-0.0955,0.0346,11.36,10.02,0.032,1.7,0.048,0.231,0.137,24.12,1.7,4.61,-0.1576,-0.0229,-0.1208,1.15B,-0.046,-0.006,Financial,0.0171,12.52,Yes,28830000,51260000,14,CRD-B,12581,0.0322,0.026,-0.135728543,-0.121756487,-0.105788423,-0.072854291,-0.104790419,-0.069860279,-0.05988024
CREE_11-29-2017,37.5,20.5,1.15,1930000,1.27,22.61,6.4,-0.0521,4.8,11/29/2017,0.06,,,-1.22,4.037,,0.359,0.01,0.54,-0.356,-3.708,Oct 17 AMC,6039,63.58,0.291,-118500000,,Semiconductor Equipment & Materials,0.015,0,,0.1028,0.06,3380000000,,Yes,,1.53,5.41,,,2.31,,0.4389,0.0079,0.4365,-0.0724,0.3107,0.3496,36.49,34.59,,3.6,,,-0.047,49.17,3.1,0.96,-0.03,0.298,0.0787,1.46B,-0.029,0.048,Technology,0.1457,7.32,Yes,97030000,97710000,31,CREE,1853791,0.0246,0.0316,0.027464585,,,,,,
CRL_11-09-2017,119.05,69.51,1.71,374630,0.95,20.25,2.96,-0.1443,1.7,11/9/2017,1.19,,,3.79,0.1012,0.522,0.1088,1.22,5.61,0.075,0.021,Nov 09 BMO,11000,20.99,0.384,182900000,,Medical Laboratories & Research,0.016,-0.1704,,0.017,1.16,5580000000,0.154,Yes,2.86,5.82,39.83,31.1,23.3,3.09,0,0.3351,0.0537,0.2179,0.0003,0.5461,0.6338,117.8,100.81,0.101,1.5,0.067,0.207,0.082,24.75,2.2,8.06,-0.1292,0.0362,-0.0927,1.81B,0.081,0.08,Healthcare,0.0263,3.3,Yes,46880000,47340000,112.64,CRL,217114,0.0155,0.0151,0.005654201,-0.001487948,-0.011209205,0.006050987,0.009126079,0.005654201,0.009423668
CROX_11-08-2017,10.8,5.93,0.42,1210000,0.4,3.34,2,0.052,2.7,11/8/2017,0.01,,,-0.37,9.667,-0.058,0.1,-0.05,0.26,-0.186,0.666,Nov 07 BMO,5068,33.8,0.497,-26500000,,Textile - Apparel Footwear & Accessories,0.011,0,0.892,-0.0233,0,688410000,0.004,Yes,,2.62,4.38,,14.37,0.68,,0.2026,-0.1011,0.03,-0.1417,0.2762,0.1459,8.76,9.21,-0.026,1.8,-0.044,-0.109,-0.069,42.03,2.9,1.35,-0.0723,0.1867,-0.0373,1.01B,-0.481,0.007,Consumer Goods,0.0944,5.52,Yes,70720000,78630000,8.86,CROX,117373,0.0746,0.0403,0.046688382,0.149837134,0.146579805,0.112920738,0.148751357,0.167209555,0.137893594
CRTO_11-01-2017,56,35.71,1.58,915730,2.64,11.21,4.62,-0.0573,1.5,11/1/2017,0.01,,,1.07,0.2307,-0.529,0.2,0.58,2.97,0.576,0.37,Nov 01 BMO,2500,14.06,0.354,71400000,,Internet Information Providers,0.026,-0.3713,0.964,-0.0082,0,2790000000,0.054,Yes,1.95,3.73,9.04,38.93,23.07,1.36,0,-0.2246,-0.0302,-0.1816,-0.0188,0.0168,0.1555,41.77,39.38,0.035,1.5,0.061,0.111,0.128,32.11,2.2,7.04,-0.1115,-0.1831,-0.1125,2.05B,0.331,0.658,Technology,0.1242,8.5,Yes,62680000,66720000,58.94,CRTO,479382,0.04,0.0345,-0.035804977,-0.065261554,-0.041391569,-0.081005587,-0.083037075,-0.113509396,-0.109954292
CRVL_11-30-2017,61.2,31,1.92,34670,0.78,7.87,2.01,-0.0499,1.5,11/30/2017,0,,,1.68,,0.246,,,,0.057,0.059,Nov 07 BMO,3629,,0.201,32200000,,Insurance Brokers,0.202,-0.0005,0.438,-0.0055,0,1050000000,0.094,Yes,,7.02,27.52,32.89,34.38,1.96,0,0.1404,-0.0792,0.0645,-0.0072,0.5096,0.7158,58.15,55.25,0.06,1.5,0.133,0.227,0.213,46.23,,1.55,-0.0059,0.1353,-0.0255,536.10M,0.064,0.047,Financial,0.0088,2.37,Yes,9350000,18980000,,CRVL,53749,0.031,0.0374,,,,,,,
CRZO_11-27-2017,43.96,11.1,1.14,3890000,2.16,4.8,0.06,-0.0878,0.3,11/27/2017,4.38,,,1.55,0.4925,1.056,0.2,0.46,1.88,-0.1742,0.499,Nov 07 AMC,227,9.72,0.746,103400000,,Independent Oil & Gas,0.037,0.1107,,0.0805,4.38,1500000000,0.28,Yes,0.59,3.81,293.72,11.82,,2.33,0,-0.1878,0.1954,0.4655,-0.0548,-0.5103,-0.5221,20.05,18.29,0.161,0.3,0.051,0.674,-0.404,49.19,2.1,0.98,-0.0253,-0.1141,0.0727,642.90M,0.63,0.17,Basic Materials,0.2502,4.98,Yes,77340000,81900000,26.38,CRZO,3801511,0.0574,0.064,0.025150355,0.007107709,0.056861673,,,,
CRZO_11-30-2017,43.96,11.1,1.11,3840000,2.16,4.8,0.06,0.0494,0.3,11/30/2017,4.38,,,1.55,0.4925,1.056,0.2,0.46,1.88,-0.1742,0.499,Nov 07 AMC,227,10.27,0.746,103400000,,Independent Oil & Gas,0.037,0.1107,,0.0805,4.38,1580000000,0.28,Yes,0.62,4.03,310.42,12.5,,2.46,0,-0.0959,0.0927,0.4382,-0.0412,-0.4825,-0.5435,18.42,19.33,0.161,0.3,0.051,0.674,-0.404,54.81,2.1,0.96,0.0164,-0.053,0.1156,642.90M,0.63,0.17,Basic Materials,0.2502,5.04,Yes,77340000,81900000,26.38,CRZO,3688638,0.0561,0.0585,,,,,,,
CSCO_11-16-2017,34.75,29.12,0.42,19320000,1.18,13.24,14.21,0.0657,3,11/16/2017,0.51,1.16,0.034,1.91,0.0502,-0.132,0.1024,0.6,2.55,0.05,-0.098,Nov 15 AMC,72900,13.36,0.63,9610000000,DJIA S&P500,Networking & Communication Devices,0.001,-0.1509,0.774,-0.0036,0.39,1.692E+11,0.249,Yes,1.75,2.58,2.4,17.91,22.86,3.52,0.558,0.087,0.0152,0.0989,-0.0113,0.1287,0.076,34.11,36.35,0.2,3,0.076,0.149,0.093,76.54,2,7.52,0.0615,0.1095,0.0832,48.01B,-0.04,0.008,Technology,0.01,2.55,Yes,4950000000,4960000000,35.73,CSCO,10097660,0.0128,0.0124,-0.005502063,-0.002475928,0.014305365,0.006877579,0.003851444,0.014305365,0.037964237
CSIQ_11-09-2017,19.09,10.25,0.54,1170000,3.13,15.3,9.14,-0.0845,0.9,11/9/2017,3.22,,,0.42,0.0969,-1.59,0.335,0.26,1.78,0.204,-0.617,Nov 09 BMO,9724,10.61,0.158,27200000,,Semiconductor - Specialized,0.31,0,0.471,0.0129,0.66,1070000000,0.036,Yes,1.33,1.23,2.07,44.61,,0.4,0,0.422,0.1838,0.1402,0.0631,0.5493,0.4177,18.87,17.28,0.024,0.9,0.012,0.072,0.02,50.42,2.9,7.06,0.0149,0.1723,0.0382,2.70B,-0.062,0.085,Technology,0.1108,4.2,Yes,44260000,56910000,16.97,CSIQ,593137,0.0292,0.0334,0.02662037,0.023726852,0.009259259,0.018518519,0.022569444,0.040509259,0.05787037
CSOD_11-09-2017,44.25,32.88,0.92,633910,0.52,0.52,5.36,-0.0681,0.9,11/9/2017,8.22,,,-1.21,0.8923,-0.174,,0.1,0.74,0.071,0.238,Nov 08 AMC,1933,50.95,0.691,-68500000,,Application Software,0.075,-0.0321,0.899,-0.0364,0,2180000000,-0.126,Yes,,72.31,7.02,,63.63,4.89,,-0.0201,-0.0623,0.1118,-0.01,-0.1113,0.0886,37.6,35.04,-0.154,0.9,-0.117,-2.517,-0.217,29.53,2.5,11.29,-0.0963,-0.0871,-0.0914,445.00M,0.091,0.421,Technology,0.0871,7.18,Yes,52280000,57880000,44.25,CSOD,514670,0.0283,0.0228,-0.013127854,-0.033961187,-0.039098174,-0.000570776,0.031107306,0.056221461,0.065924658
CSRA_11-08-2017,33.67,25.72,0.49,1070000,,2.32,1.17,-0.0577,1.1,11/8/2017,7.56,0.4,0.0126,1.92,0.0582,0.193,0.1,0.48,2.07,,2.462,Nov 07 AMC,18000,15.3,0.231,316000000,S&P 500,Information Technology Services,0.002,0.0024,0.971,0.0035,7.22,5270000000,0.104,Yes,1.65,13.68,27.19,16.53,12.24,1.06,0.207,0.0782,0.0019,-0.0143,-0.0081,-0.0035,0.2046,31.73,29.9,0.064,1.1,0.065,1.063,0.101,30.27,2.3,1.91,-0.0526,-0.0335,-0.0598,4.97B,-0.02,,Technology,0.0189,2.88,Yes,162530000,166240000,36.7,CSRA,147097,0.017,0.0137,-0.013377926,-0.047491639,-0.054180602,-0.07458194,-0.069565217,-0.071906355,-0.075250836
CSTE_11-01-2017,44,26.35,0.6,177310,2.19,13.61,,-0.0919,3.1,11/1/2017,0.05,,,1.83,0.152,-0.419,0.146,0.54,2.24,0.282,-0.021,Nov 01 BMO,1434,12.66,0.374,63100000,,General Building Materials,0.3623,0,0.543,-0.0011,0.02,973520000,0.145,Yes,1.06,2.08,,15.43,12.32,1.72,0,-0.2916,-0.0614,-0.0736,-0.0191,-0.0122,-0.1994,28.3,25.7,0.112,2,0.106,0.142,0.174,21.09,2.5,8.75,-0.1176,-0.2303,-0.1171,564.60M,0.046,0.157,Industrial Goods,0.019,2.34,Yes,21900000,34400000,39,CSTE,115341,0.0216,0.0198,-0.073929961,-0.070038911,-0.075875486,-0.044747082,-0.044747082,-0.054474708,-0.035019455
CSTE_11-02-2017,44,25.05,0.8,187170,2.19,13.61,,-0.0757,3.1,11/2/2017,0.05,,,1.83,0.152,-0.419,0.146,0.54,2.24,0.282,-0.021,Nov 01 BMO,1434,11.52,0.374,63100000,,General Building Materials,0.3623,0,0.543,-0.0011,0.02,885800000,0.145,Yes,0.96,1.89,,14.04,11.21,1.57,0,-0.3579,-0.1474,-0.1431,-0.0965,-0.1012,-0.2611,25.75,23.8,0.112,2,0.106,0.142,0.174,14.9,2.5,6.07,-0.1767,-0.2868,-0.1804,564.60M,0.046,0.157,Industrial Goods,0.019,2.22,Yes,21900000,34400000,39,CSTE,84455,0.0314,0.0227,0.004201681,-0.00210084,0.031512605,0.031512605,0.021008403,0.042016807,0.069327731
CSTM_10-31-2017,12.45,4.95,0.54,1360000,0.69,-5.45,3.8,-0.0579,1.2,10/31/2017,,,,0.25,0.7675,0.357,,0.1,0.94,0.543,0.993,Oct 26 BMO,11000,12.94,0.109,26800000,,Metal Fabrication,0.0067,0,0.721,0.0024,,1280000000,0.056,Yes,,,3.18,48.21,,0.22,0,0.7042,0.1805,0.4491,0.1256,1.0508,1.3048,12.1,11.4,0.006,0.7,0.008,-0.054,0.094,53.54,2.5,7.15,0.0319,0.4049,0.0681,5.91B,0.067,0.059,Industrial Goods,0.0038,0.29,Yes,104980000,105660000,11.71,CSTM,721168,0.0573,0.0434,0.01754386,-0.014912281,0.004385965,0.007017544,-0.052631579,-0.078947368,-0.109649123
CSTM_11-16-2017,12.45,5.35,0.59,1420000,0.7,-5.44,3.08,0.071,1.2,11/16/2017,,,,0.31,0.6667,0.357,,0.1,0.91,0.543,0.993,Oct 26 BMO,11000,10.05,0.107,33800000,,Metal Fabrication,0.0054,0,0.564,-0.0273,,1190000000,0.055,Yes,,,2.97,29.52,,0.2,0,0.5,-0.183,-0.0985,-0.1606,0.5508,0.4758,9.15,9.8,0.006,0.7,0.008,-0.054,0.094,40.86,2.5,5.05,-0.0982,0.1787,-0.0821,5.99B,0.067,0.059,Industrial Goods,0.0032,0.3,Yes,130280000,130280000,11.89,CSTM,496924,0.0622,0.0516,-0.005102041,0.02244898,0.018367347,0.033673469,0.040816327,0.045918367,0.056122449
CSU_11-02-2017,17.89,11.6,0.43,287450,1.52,3.09,0.54,0.1396,0.7,11/2/2017,11.09,,,-1.62,0.443,-0.729,0.275,-0.27,-0.88,-0.611,-0.946,Nov 01 AMC,4152,,,-47300000,,Long-Term Care Facilities,0.014,-0.0094,0.958,-0.0024,10.87,388890000,-0.001,Yes,,4.17,24.01,,52.55,0.85,,-0.0733,-0.0023,-0.0054,0.0395,-0.1969,-0.1183,12.89,14.69,-0.103,0.7,-0.041,-0.441,0.013,71.22,1.6,1.82,0.1555,0.0409,0.173,459.90M,0.051,0.112,Healthcare,0.1369,13.09,Yes,27480000,30170000,16.4,CSU,38829,0.0486,0.0317,0.044928523,0.063989108,0.038121171,0.049012934,0.077603812,0.091218516,0.066712049
CS_11-02-2017,16.27,11.9,0.19,2610000,1.5,18.88,150.68,0.0509,,11/2/2017,4.06,0.7,0.0448,-0.84,0.3602,0.608,0.655,,0.94,-0.248,0.236,Nov 09 BMO,46230,16.54,,-1683200000,,Foreign Money Center Banks,0.031,0,0.03,0.0032,4.06,40990000000,0.399,Yes,,0.83,0.1,,3.13,2.45,,0.0464,-0.0219,0.015,-0.0316,0.1312,0.1637,15.61,16.41,-0.101,,-0.002,-0.039,0.029,64.46,1,4.47,0.0308,0.1103,0.0579,16.72B,-0.033,-0.055,Financial,0.0029,2.14,Yes,1930000000,2630000000,18.3,CS,868936,0.0106,0.0094,-0.020109689,-0.026812919,-0.020109689,-0.023765996,-0.036563071,-0.029859842,-0.043266301
CTL_11-09-2017,27.61,16.04,0.69,12250000,0.89,24.17,0.3,-0.0889,0.9,11/9/2017,1.92,2.16,0.1328,0.69,-0.0445,-0.914,-0.099,0.45,1.85,0.016,-0.268,Nov 08 AMC,39800,8.8,0.546,374000000,S&P 500,Telecom Services - Domestic,0.007,0,0.848,-0.0033,1.9,18520000000,0.117,Yes,,0.67,54.15,23.53,43.88,1.09,3.12,-0.3347,-0.1998,-0.25,-0.0891,-0.3162,-0.327,16.26,14.81,0.022,0.9,0.008,0.028,0.059,25.8,2.7,5.4,-0.1901,-0.3475,-0.2158,16.97B,-0.07,0.026,Technology,0.2236,9.95,Yes,545140000,1140000000,24.93,CTL,4759865,0.0433,0.0385,0.031060095,0.014179608,-0.043889264,0,0,-0.009453072,-0.006076975
CTL_11-29-2017,27.61,13.16,0.66,13420000,0.89,23.93,0.14,0.0621,0.8,11/29/2017,1.93,2.16,0.1486,0.58,-0.3109,-0.395,,0.34,1.19,0.016,-0.268,Nov 08 AMC,39500,12.26,0.541,314000000,S&P 500,Telecom Services - Domestic,0.007,0,0.434,-0.0117,1.92,16100000000,0.113,Yes,,0.61,100.65,25.07,34.86,0.97,3.72,-0.438,-0.2098,-0.2876,0.0007,-0.3886,-0.3994,13.69,14.54,0.019,0.8,0.006,0.024,0.059,36.61,2.7,1.32,-0.0609,-0.3396,-0.1798,16.62B,-0.079,0.026,Technology,0.1308,10.34,Yes,1060000000,1110000000,19.69,CTL,17756510,0.0418,0.0452,0.00343879,,,,,,
CTRL_11-03-2017,30.83,9.97,1.11,628150,-0.61,6.16,2.67,0.1627,4.1,11/3/2017,0,,,0.41,0.1341,5.737,0.2,0.26,1.18,0.177,8.764,Nov 02 AMC,546,23.35,0.507,10500000,,Diversified Electronics,0.01,-0.531,0.848,0.0059,0,650050000,0.041,Yes,3.35,4.49,10.35,66.95,27.78,2.9,0,0.5447,-0.0693,0.241,0.0203,1.7108,1.4556,27.65,32.15,0.047,3.1,0.062,0.075,0.099,65.46,2.3,6.21,0.1096,0.5818,0.1542,224.20M,0.154,0.175,Technology,0.0559,2.09,Yes,23510000,23510000,27.5,CTRL,289999,0.0455,0.0358,0.016174184,0.015863142,-0.042923795,-0.014618974,0.034525661,0.003421462,0.046345257
CTRL_11-29-2017,35.99,10.08,1.61,593450,-0.6,6.43,2.8,-0.0582,4,11/29/2017,0,,,0.53,0.0849,1.639,0.2,0.35,1.24,0.177,8.764,Nov 02 AMC,546,26.67,0.511,13900000,,Diversified Electronics,0.008,-0.6145,0.882,0.0462,0,827650000,0.052,Yes,3.11,5.14,11.81,62.11,34.78,3.54,0,0.6578,0.152,0.336,-0.0514,2.2392,1.873,35.08,33.04,0.06,3,0.078,0.094,0.099,52.23,2.4,1.31,0.0101,0.4898,0.0834,233.80M,0.172,0.175,Technology,0.0514,2.1,Yes,24250000,25050000,30.2,CTRL,777522,0.0426,0.0536,0.006053269,,,,,,
CTSH_11-01-2017,76.51,51.12,0.85,2930000,1.1,17.8,7.43,-0.0563,3.4,11/1/2017,0.09,0.6,0.0079,3.12,0.1747,0.922,0.1398,0.95,4.35,0.123,-0.038,Nov 01 BMO,260200,17.39,0.4,1890000000,S&P 500,Business Software & Services,0.003,-0.211,0.919,-0.0024,0.07,44570000000,0.164,Yes,1.73,4.25,10.18,24.23,26.32,3.15,0.048,0.2495,0.0444,0.1043,0.0131,0.3505,0.4736,75.67,71.41,0.133,3.4,0.136,0.182,0.128,36.42,2.1,4.31,-0.0383,0.0942,-0.0154,14.13B,0.089,0.171,Technology,0.014,2.81,Yes,587430000,589000000,79.1,CTSH,938030,0.0138,0.0105,0.048592634,0.034869066,0.038650049,0.043411287,0.03430892,0.037109649,0.037529758
CUBI_11-29-2017,36.93,24.75,0.8,212160,0.63,22.55,10.56,0.0617,,11/29/2017,0.43,,,2.05,0.2692,-0.797,,0.54,2.48,0.492,0.234,Oct 25 AMC,739,11.47,,67300000,,Regional - Northeast Banks,0.047,-0.0388,0.911,0.0041,0.43,883240000,0.718,Yes,,1.26,2.69,13.85,1.47,2.46,0,0.0136,0.0216,-0.0035,0.0585,-0.2071,-0.0788,26.75,28.4,0.16,,0.006,0.085,0.235,56.53,2.4,3.2,0.0732,-0.0496,-0.0399,358.80M,0.167,0.394,Financial,0.0343,4.66,Yes,28840000,31100000,39.5,CUBI,679717,0.025,0.0253,-0.045774648,,,,,,
CUB_11-21-2017,57.05,39.58,1.24,151640,1.06,24.4,2.96,0.1785,1.7,11/21/2017,0.46,0.27,0.005,-1.18,3.565,-5.872,,0.26,1.59,-0.543,-0.924,Nov 20 AMC,8500,33.69,0.234,-31900000,,Scientific & Technical Instruments,0.005,0,0.92,0.0168,0.3,1450000000,0.002,Yes,,2.19,18.1,,,1,,0.1605,0.0085,0.2588,0.0075,0.1157,0.0863,53.5,63.05,-0.022,1.4,-0.022,-0.047,0.015,80.39,1.7,9.31,0.1682,0.2881,0.2154,1.45B,-0.035,0.023,Technology,0.0596,9.83,Yes,25000000,27130000,57.4,CUB,101566,0.0221,0.0256,0.002379064,-0.014274385,-0.026169707,-0.000793021,-0.001586043,-0.017446471,
CUDA_11-27-2017,26.16,19.06,0.71,944170,3.23,0.41,3.91,0.1646,1.1,11/27/2017,0,,,0.17,0.1602,-0.377,0.0945,0.18,0.87,0.736,3.293,Jan 09 AMC,1490,31.75,0.749,9200000,,Communication Equipment,0.107,-0.3844,0.845,0.1478,0,1460000000,0.043,Yes,17.17,67.29,7.06,162.29,23.38,3.98,0,0.2473,0.1681,0.2074,0.2512,0.2874,0.1597,23.69,27.59,0.025,1.1,0.02,1.097,0.981,80.11,1.9,8.63,0.2229,0.2027,0.1809,366.60M,0.073,0.17,Technology,0.0528,2.37,Yes,42330000,52870000,28.71,CUDA,8146135,0.0197,0.0197,0.001812251,-0.0007249,0.002174701,,,,
CUTR_11-24-2017,47.15,15.05,2.22,198440,0.52,4.38,3.61,0.0491,2.6,11/24/2017,0,,,0.75,0.75,2.452,0.09,0.35,0.91,0.177,1.589,Nov 07 AMC,297,46.98,0.569,11300000,,Medical Appliances & Equipment,0.025,-0.535,0.884,-0.0237,0,598070000,0.078,Yes,6.36,9.76,11.84,57.23,51.56,4.22,0,0.8791,0.1355,0.1975,0.0071,1.464,1.8125,40.75,42.75,0.08,2,0.121,0.187,0.037,57.08,2,0.71,0.0481,0.4877,0.0505,141.70M,0.261,0.144,Healthcare,0.0224,1.5,Yes,13310000,13990000,50.5,CUTR,141126,0.0488,0.0574,-0.028070175,-0.038596491,-0.05380117,-0.039766082,,,
CUTR_11-08-2017,44.4,13.1,1.65,181130,0.53,4.32,3.73,0.0834,2.8,11/8/2017,0,,,0.45,0.5827,2.422,0.09,0.08,0.82,0.177,1.589,Nov 07 AMC,297,47.33,0.569,6800000,,Medical Appliances & Equipment,0.025,-0.3641,0.904,0.0019,0,532450000,0.047,Yes,9.64,9.02,10.44,86.75,55.46,3.98,0,0.9722,-0.1067,0.1785,-0.0089,1.245,1.9733,38.95,42.2,0.051,2.3,0.076,0.116,0.037,59.33,2,5.87,0.0709,0.5373,0.0592,133.80M,0.324,0.144,Healthcare,0.0326,2.38,Yes,13200000,13670000,48,CUTR,76493,0.0481,0.0418,-0.053317536,0.004739336,0.023696682,0.022511848,0.111374408,-0.007109005,0
